  9809     SAGA-LS   BL11
 20190219_09_K2  19.02.19 18:47 - 19.02.19 19:16
 S-K ROI 215-255ch, CEY 400V
 Ring :   1.4 GeV   204.1 mA -  193.0 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 53.80180 deg
 BL11      Transmission( 2)   Repetition=  1     Points=475
 Param file : --              energy axis(2)     Block =    3

 Block      Init-Eng  final-Eng      Step/eV     Time/s       Num
     1        2440.00   2442.00         0.50       3.00         4
     2        2442.00   2532.96         0.20       3.00       450
     3        2532.96   2540.00         0.35       3.00        21
 CAMAC( 1)     NDCH = 9
  Angle(c)  Angle(o)    time/s         1         2         3         1         2         3         1         2         3
      Mode         0         0         3         1         4       103       101       104         5         5         5
    Offset         0         0     0.000191361.400230259.300     0.000     0.000     0.000     0.000     0.000     0.000
  52.46217  52.46250      3.00    117914   9856923  18738569    130679         0         0   2961471         0         0
  52.45613  52.45640      3.00    120043   9859335  18834527    133022         0         0   2961242         0         0
  52.45008  52.45040      3.00    121479   9854826  18933485    134739         0         0   2960734         0         0
  52.44404  52.44440      3.00    123474   9867941  19028098    137306         0         0   2959367         0         0
  52.43801  52.43830      3.00    126104   9883951  19149613    140139         0         0   2958683         0         0
  52.43197  52.43230      3.00    127535   9876741  19229397    141869         0         0   2957838         0         0
  52.42593  52.42620      3.00    129397   9875326  19340095    144073         0         0   2957673         0         0
  52.41990  52.42020      3.00    131383   9901803  19461845    146164         0         0   2957525         0         0
  52.41387  52.41410      3.00    133857   9934376  19597153    149236         0         0   2956421         0         0
  52.40784  52.40810      3.00    137114  10117153  20012892    152708         0         0   2955353         0         0
  52.40181  52.40200      3.00    137833  10107312  20038414    153894         0         0   2955184         0         0
  52.39578  52.39600      3.00    138167  10116087  20044428    154124         0         0   2954705         0         0
  52.38976  52.39000      3.00    137763  10104920  20021237    153364         0         0   2955726         0         0
  52.38374  52.38400      3.00    136912  10115960  19985784    152594         0         0   2955881         0         0
  52.37772  52.37790      3.00    136241  10153885  19992389    151789         0         0   2955279         0         0
  52.37170  52.37190      3.00    136088  10180199  19989313    151588         0         0   2955561         0         0
  52.36568  52.36580      3.00    136424  10208110  20017123    152221         0         0   2955712         0         0
  52.35967  52.35990      3.00    135809  10207070  20019903    151189         0         0   2956257         0         0
  52.35365  52.35380      3.00    135336  10228226  20031528    150853         0         0   2955527         0         0
  52.34764  52.34780      3.00    136329  10242422  20058610    151825         0         0   2955605         0         0
  52.34163  52.34180      3.00    137531  10251253  20115484    153506         0         0   2954774         0         0
  52.33562  52.33580      3.00    137416  10258129  20125773    153317         0         0   2954877         0         0
