  9809     SPring-8 14b2 
 Ir-L21_IrO2_Si  20.07.15 17:56 - 20.07.15 18:08
 IrO2                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 17.83300 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6554
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.64500  14.67000    -0.000460       0.10      6554
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    55.800    60.800
  17.41822  17.43462     0.100      5009     22851
  17.41776  17.43424     0.100      5007     22850
  17.41730  17.43387     0.100      5010     22870
  17.41684  17.43349     0.100      5000     22835
  17.41638  17.43309     0.100      5015     22892
  17.41592  17.43268     0.100      5002     22831
  17.41546  17.43228     0.100      5013     22891
  17.41500  17.43187     0.100      5007     22853
  17.41454  17.43142     0.100      5021     22939
  17.41408  17.43094     0.100      5016     22917
  17.41362  17.43042     0.100      5012     22903
  17.41316  17.42992     0.100      5011     22895
  17.41270  17.42944     0.100      4999     22847
  17.41224  17.42896     0.100      5013     22915
  17.41178  17.42846     0.100      5011     22909
  17.41132  17.42794     0.100      5022     22955
  17.41086  17.42744     0.100      5021     22976
  17.41040  17.42696     0.100      5001     22888
  17.40994  17.42651     0.100      5020     22978
  17.40948  17.42606     0.100      5008     22915
  17.40902  17.42561     0.100      5008     22917
  17.40856  17.42518     0.100      5014     22934
  17.40810  17.42476     0.100      5011     22944
  17.40764  17.42438     0.100      5021     22989
  17.40718  17.42401     0.100      5025     22983
  17.40672  17.42363     0.100      5033     23036
  17.40626  17.42324     0.100      5025     22999
  17.40580  17.42283     0.100      5016     22978
  17.40534  17.42242     0.100      5025     23026
  17.40488  17.42202     0.100      5014     22964
  17.40442  17.42160     0.100      5027     23044
  17.40396  17.42113     0.100      5035     23071
  17.40350  17.42062     0.100      5002     22935
  17.40304  17.42011     0.100      5021     23025
  17.40258  17.41962     0.100      4986     22856
  17.40212  17.41914     0.100      4970     22805
  17.40166  17.41865     0.100      4970     22798
  17.40120  17.41814     0.100      4952     22694
  17.40074  17.41764     0.100      4958     22742
  17.40028  17.41715     0.100      4930     22622
  17.39982  17.41669     0.100      4959     22749
  17.39936  17.41624     0.100      4923     22606
  17.39890  17.41579     0.100      4898     22467
  17.39844  17.41535     0.100      4908     22519
  17.39798  17.41493     0.100      4894     22468
  17.39752  17.41453     0.100      4932     22639
  17.39706  17.41416     0.100      4957     22752
  17.39660  17.41379     0.100      4977     22849
  17.39614  17.41340     0.100      5044     23167
  17.39568  17.41300     0.100      5035     23137
  17.39522  17.41259     0.100      5065     23275
  17.39476  17.41219     0.100      5042     23169
