  9809     KEK-PF   BL9A
 Cu104           22.03.18 20:13 - 22.03.18 20:33 Serial#KEKPF-BL9A_029784
 CuO/BN, 8wt%
 Ring :   2.5 GeV   449.9 mA -  450.0 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 10.76970 deg
 BL9A      Transmission( 2)   Repetition=  1     Points=  726
 Param file : Cu002           energy axis(2)     Block =    7

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        8475.30   8930.30         6.50       1.00        70
     2        8930.30   8945.30         1.00       1.00        15
     3        8945.30   9050.30         0.35       1.00       300
     4        9050.30   9080.30         1.00       1.00        30
     5        9080.30   9480.30         2.50       1.00       160
     6        9480.30  10080.30         6.00       1.00       100
     7       10080.30  10580.30        10.00       1.00        51
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0  7603.300  9349.900
  12.61949  12.61950      1.00    976713    609072
  12.61900  12.61910      1.00    974464    607805
  12.61850  12.61840      1.00    971645    606500
  12.61708  12.61700      1.00    967946    606121
  12.61567  12.61560      1.00    972833    612221
  12.61425  12.61430      1.00    974395    617135
  12.61284  12.61280      1.00    974035    621675
  12.61142  12.61140      1.00    972819    625372
  12.61000  12.61010      1.00    972423    629478
  12.60859  12.60870      1.00    970682    632882
  12.60717  12.60700      1.00    969328    636570
  12.60576  12.60570      1.00    968265    639735
  12.60435  12.60450      1.00    967882    643774
  12.60293  12.60280      1.00    967637    648342
  12.60152  12.60160      1.00    965835    650690
  12.60010  12.60010      1.00    965623    654257
  12.59869  12.59880      1.00    964740    656882
  12.59728  12.59710      1.00    964212    659722
  12.59587  12.59580      1.00    963281    661544
  12.59445  12.59460      1.00    961772    663140
  12.59304  12.59300      1.00    961553    665948
  12.59163  12.59160      1.00    961060    668254
  12.59022  12.59030      1.00    960516    670326
  12.58881  12.58900      1.00    960170    672529
  12.58740  12.58720      1.00    960500    675163
  12.58599  12.58590      1.00    959845    676308
  12.58458  12.58460      1.00    959469    677647
  12.58317  12.58320      1.00    957872    678085
  12.58176  12.58170      1.00    957895    679584
  12.58035  12.58040      1.00    957287    680388
  12.57894  12.57910      1.00    958168    682152
  12.57754  12.57740      1.00    957949    683067
  12.57613  12.57610      1.00    958209    683954
  12.57261  12.57260      1.00    957734    685845
  12.56909  12.56930      1.00    957643    689033
  12.56558  12.56540      1.00    951222    687371
  12.56207  12.56210      1.00    954486    691037
  12.55856  12.55870      1.00    955545    693250
  12.55505  12.55500      1.00    954579    694704
  12.55154  12.55150      1.00    953728    695447
  12.54804  12.54810      1.00    948002    692352
  12.54454  12.54450      1.00    949975    695282
  12.54104  12.54090      1.00    949313    695654
  12.53754  12.53760      1.00    950205    696551
  12.53404  12.53420      1.00    949574    697164
  12.53055  12.53040      1.00    948263    697940
  12.52705  12.52700      1.00    947270    697763
  12.52356  12.52370      1.00    946475    696348
  12.52007  12.52010      1.00    947374    694735
  12.51659  12.51640      1.00    946592    689872
  12.51310  12.51320      1.00    946800    684470
  12.50962  12.50980      1.00    945656    677924
  12.50614  12.50590      1.00    946043    673655
  12.50266  12.50270      1.00    945262    670711
  12.49918  12.49940      1.00    942635    667789
  12.49571  12.49550      1.00    940882    666924
  12.49224  12.49220      1.00    934747    663616
  12.48877  12.48900      1.00    933756    664315
  12.48530  12.48510      1.00    941630    671417
  12.48183  12.48180      1.00    936164    669250
  12.47836  12.47850      1.00    934252    670160
  12.47490  12.47490      1.00    940014    676892
  12.47144  12.47120      1.00    938764    678955
  12.46798  12.46820      1.00    936958    681102
  12.46452  12.46460      1.00    936623    685873
  12.46107  12.46090      1.00    935747    691217
  12.45761  12.45780      1.00    934974    697074
  12.45416  12.45410      1.00    933256    703289
  12.45071  12.45060      1.00    928619    706669
  12.44726  12.44730      1.00    924073    709098
  12.44382  12.44390      1.00    931946    718897
  12.44037  12.44040      1.00    929231    717301
  12.43693  12.43680      1.00    922145    709682
  12.43349  12.43360      1.00    935163    716612
  12.43005  12.43010      1.00    932106    710713
  12.42662  12.42650      1.00    929418    706541
  12.42318  12.42330      1.00    926576    704179
  12.41975  12.41980      1.00    923312    703230
  12.41632  12.41620      1.00    921878    704640
  12.41289  12.41290      1.00    920325    706051
  12.40946  12.40960      1.00    918141    706850
  12.40604  12.40590      1.00    917517    708834
  12.40262  12.40260      1.00    917392    711441
  12.39920  12.39940      1.00    917662    714818
  12.39578  12.39570      1.00    916779    716900
  12.39236  12.39220      1.00    915964    717345
  12.38894  12.38920      1.00    916443    717339
  12.38553  12.38540      1.00    919052    717764
  12.38212  12.38210      1.00    918282    715065
  12.37871  12.37890      1.00    917864    712575
  12.37530  12.37510      1.00    916752    710384
  12.37190  12.37190      1.00    915703    709902
  12.36849  12.36870      1.00    916551    712578
  12.36509  12.36500      1.00    916860    716358
  12.36169  12.36150      1.00    917599    720541
  12.35829  12.35850      1.00    916412    722754
  12.35490  12.35490      1.00    915944    725119
  12.35150  12.35130      1.00    913190    724334
  12.34811  12.34840      1.00    912539    724359
  12.34472  12.34460      1.00    910857    723101
  12.34133  12.34130      1.00    909209    721840
  12.33794  12.33800      1.00    906409    719920
  12.33456  12.33460      1.00    904614    718933
  12.33117  12.33100      1.00    906540    721065
  12.32779  12.32790      1.00    904145    719888
  12.32441  12.32440      1.00    902269    719654
  12.32103  12.32100      1.00    900153    719805
  12.31766  12.31770      1.00    898782    721204
  12.31429  12.31440      1.00    896624    722630
  12.31091  12.31080      1.00    888326    719713
  12.30754  12.30750      1.00    893435    727115
  12.30417  12.30420      1.00    891330    728412
  12.30081  12.30080      1.00    888530    728421
  12.29744  12.29750      1.00    880765    723415
  12.29408  12.29410      1.00    883788    726682
  12.29072  12.29060      1.00    881245    725126
  12.28736  12.28750      1.00    878024    723104
  12.28400  12.28400      1.00    875364    721805
  12.28065  12.28060      1.00    870623    718960
  12.27729  12.27730      1.00    857873    709534
  12.27394  12.27400      1.00    868598    720049
  12.27059  12.27060      1.00    866257    719703
  12.26725  12.26710      1.00    864113    719550
  12.26390  12.26410      1.00    862601    720034
  12.26055  12.26050      1.00    860666    720644
  12.25721  12.25720      1.00    861641    723725
  12.25387  12.25390      1.00    861983    726330
  12.25053  12.25040      1.00    859653    726479
  12.24720  12.24730      1.00    854393    723737
  12.24386  12.24390      1.00    855647    726178
  12.24053  12.24040      1.00    854021    725763
  12.23720  12.23730      1.00    855796    728053
  12.23387  12.23390      1.00    855767    728855
  12.23054  12.23050      1.00    857496    731241
  12.22721  12.22720      1.00    858052    732704
  12.22389  12.22400      1.00    859015    734772
  12.22057  12.22050      1.00    859251    736504
  12.21725  12.21720      1.00    860694    739563
  12.21393  12.21400      1.00    860891    741787
  12.21061  12.21060      1.00    860724    744027
  12.20729  12.20730      1.00    860127    745805
  12.20398  12.20400      1.00    859359    747280
  12.20067  12.20060      1.00    859312    748882
  12.19736  12.19740      1.00    858774    749556
  12.19405  12.19410      1.00    857981    749649
  12.19075  12.19070      1.00    856173    748356
  12.18744  12.18740      1.00    855116    747417
  12.18414  12.18430      1.00    853310    745665
  12.18084  12.18070      1.00    851826    744234
  12.17754  12.17760      1.00    850713    743244
  12.17424  12.17420      1.00    850272    743050
  12.17095  12.17090      1.00    851809    745000
  12.16765  12.16780      1.00    852183    746282
  12.16436  12.16430      1.00    852461    747711
  12.16107  12.16100      1.00    856051    752128
